Gene_Symbol,Label
LRRC59,0
CDK11A,0
KIF25,0
TTC28,0
SMC6,0
KHNYN,0
YTHDC1,0
NELFB,0
MCRS1,0
LONP2,0
RPS15A,0
USP22,0
IFFO1,0
MAP10,0
MFSD14A,0
RBL1,0
TTI2,0
GTPBP4,0
MRPL17,0
DDX47,0
SRM,0
RFC5,0
ZNF276,0
H1FX,0
EMC7,0
TSN,0
BTBD1,0
C1ORF43,0
WDHD1,0
ACP1,0
KIF4B,0
ZNF503,0
ATAD2,0
CATSPERZ,0
VEZF1,0
NEK6,0
PSMA2,0
NFRKB,0
DKC1,0
GLE1,0
MRPL38,0
USP44,0
SIX3,0
EIF4A3,0
IFNW1,0
REXO4,0
RPL37,0
DPF1,0
SHARPIN,0
PIBF1,0
DNAJC4,0
SPIRE1,0
NSRP1,0
MARCKS,0
INTS3,0
RAB11B,0
GNPTG,0
PRDX1,0
SAMM50,0
SUV39H1,0
DNAJC1,0
THAP4,0
TSC1,0
PDCD7,0
MCM7,0
AAAS,0
DMAP1,0
MAX,0
TOPBP1,0
TUBA4A,0
NDST1,0
SNX27,0
CNOT11,0
PMPCB,0
UBP1,0
PICALM,0
RAB35,0
PACSIN2,0
AHSA1,0
MRPS2,0
ATP5F1E,0
MRPL51,0
MIR30C2,0
TWF2,0
CRNN,0
C22ORF39,0
ATP5ME,0
EDNRA,0
C11ORF68,0
DEUP1,0
FARSA,0
RTL8C,0
DYNC1LI2,0
ANKRD10,0
CALM2,0
TUBA3C,0
RDH14,0
UBE2G2,0
LRP5,0
MIR503,0
LAMTOR2,0
NR2F6,0
PPP2CA,0
WRNIP1,0
DMRTC2,0
CCDC124,0
KLHDC3,0
EZH2,0
NCAPD3,0
KIF13A,0
VAPA,0
TAF10,0
DDX49,0
PTPRK,0
NDUFB2,0
CCT6A,0
PCSK7,0
TRIM75,0
IDH3B,0
CAP1,0
DACH1,0
PKP3,0
SUMO2,0
INSM1,0
UQCC2,0
CCDC57,0
VAMP3,0
BTBD2,0
IHO1,0
EIF4A1,0
CDC42SE1,0
KIF3B,0
NUBP1,0
RPL28,0
CDK7,0
ARID1A,0
FXR2,0
PRCP,0
TMEM59,0
KIAA2013,0
SMARCD2,0
PTPN3,0
DDX18,0
COQ4,0
TMED9,0
UBE2E2,0
OGFR,0
COX4I1,0
SART1,0
INHA,0
CDC37L1,0
NFIB,0
NLRP2,0
EPN1,0
PRP4K,0
PTGES3,0
CNTROB,0
IPO9,0
SHCBP1L,0
USP8,0
SEPTIN12,0
BSDC1,0
MMS19,0
GTF3C6,0
ISCA2,0
POGZ,0
ZNF865,0
MMP24OS,0
NUPR2,0
TRIM28,0
NEDD8,0
AZIN1,0
ESCO2,0
PLOD1,0
RNF123,0
BUD13,0
TMEM184B,0
OSTC,0
DEGS1,0
SEPTIN9,0
IGF2,0
BRINP2,0
PEF1,0
HDLBP,0
PLRG1,0
WRAP73,0
HNRNPH3,0
INIP,0
MRPS34,0
MRPS9,0
ARHGAP1,0
FOXN3,0
BMS1,0
STAG1,0
UTP18,0
BTG4,0
HDAC8,0
FAM174A,0
RPA2,0
SECISBP2L,0
MX2,0
RPL22,0
NDC80,0
VPS25,0
LMAN2L,0
PWP1,0
PSME1,0
APPL2,0
ENTPD4,0
GID8,0
SMPD3,0
NSFL1C,0
MRPL46,0
KHDC4,0
SLC39A13,0
CYP1A1,0
NMT1,0
PGLS,0
R3HCC1,0
NAA10,0
PSMD1,0
KIF15,0
TOR3A,0
HNRNPA2B1,0
UCK2,0
PTPN12,0
CAND1,0
SRPK1,0
SOS2,0
DNAJB6,0
UBE2A,0
NCLN,0
EMC6,0
ZNF395,0
RPS24,0
KCMF1,0
FAM32A,0
ETAA1,0
SYNCRIP,0
WDFY1,0
AAR2,0
PHF5A,0
RABAC1,0
ESD,0
PSMD13,0
FANCD2,0
PRKAG2,0
EFCAB14,0
DRD3,0
UBE2J1,0
DSN1,0
NFX1,0
EPC1,0
PPP2CB,0
PSME2,0
SNRPC,0
BUB1,0
MRPL54,0
CENPN,0
SPO11,0
BUD23,0
BCAS2,0
LAMP1,0
USP17L2,0
MIR520H,0
SLC39A7,0
RASSF1,0
SLTM,0
RPL36,0
RNF139,0
QSOX1,0
WDR46,0
DONSON,0
TBC1D22B,0
ELAVL1,0
SPIN1,0
ACTG1,0
KXD1,0
UFL1,0
EPC2,0
RHEB,0
ZNF32,0
LIG3,0
CEP55,0
TFE3,0
STXBP3,0
AFF4,0
FES,0
MIS12,0
ARF1,0
DIMT1,0
CENPO,0
PTPN11,0
PSMD4,0
POLDIP2,0
RER1,0
NPEPL1,0
SEC22C,0
CEP250,0
LASP1,0
PDZD11,0
ABHD12,0
GNB2,0
DNAJB11,0
ROPN1B,0
KPNA6,0
CUL3,0
DARS,0
AP2M1,0
MCTS1,0
XPC,0
GINS2,0
PITHD1,0
SND1,0
MTCL2,0
CDC27,0
CDC14C,0
CDK10,0
SHOC1,0
PIN1,0
SYPL1,0
ACTR8,0
COA3,0
CRKL,0
IQGAP3,0
PFN1,0
HP1BP3,0
MIR638,0
RPL35,0
STRADA,0
SCYL1,0
IMP3,0
PKD1,0
C9ORF78,0
CDCA3,0
MRPS14,0
MRPS25,0
MAPK14,0
ADI1,0
FRG1,0
CENPF,0
CDC26,0
GDI1,0
SLC16A1,0
ARL8B,0
CERS2,0
PIWIL4,0
EML1,0
SMARCD1,0
MITD1,0
CDKL4,0
COG3,0
RFPL1,0
TDRD9,0
YPEL5,0
RBPJ,0
CSNK2B,0
CHTOP,0
CLTA,0
CHAMP1,0
KCTD9,0
AGAP3,0
MRFAP1L1,0
MTBP,0
AMFR,0
CALM1,0
INO80,0
BRD7,0
ATP6V0D1,0
RTRAF,0
PLD6,0
DTD1,0
ARF6,0
TBK1,0
C6ORF62,0
KPNA1,0
SEPT9,0
STX12,0
H3-3A,0
CDK11B,0
MRPL21,0
CTDSPL,0
AKR7A2,0
REEP4,0
NABP1,0
MRPS28,0
ROCK2,0
OBSL1,0
RTEL1,0
UBA1,0
AARSD1,0
KPNA2,0
CIC,0
PCBD1,0
NDEL1,0
PCLAF,0
ATP6V0C,0
CIAO1,0
MIR424,0
RBM25,0
TUBB8,0
ANAPC7,0
NAT10,0
RANGRF,0
PRDX4,0
GEN1,0
RACGAP1,0
RPA3,0
ZCRB1,0
ASB7,0
XPO1,0
DCTN3,0
NOL7,0
CETN2,0
TXNL1,0
TOMM5,0
FBXL12,0
FAM83D,0
HAUS7,0
ARHGEF10,0
DNAJC9,0
ULK1,0
TROAP,0
MRPS24,0
DYNLT1,0
UBE2I,0
SLC41A3,0
USP7,0
RNASEH2B,0
FOXJ3,0
C7ORF26,0
RPL23A,0
HAUS1,0
OXSR1,0
TPRG1L,0
STAG2,0
CENPH,0
PSIP1,0
MUS81,0
ERCC4,0
ELOB,0
SSBP1,0
TUBE1,0
CDC25C,0
VCP,0
MCM5,0
KAT8,0
ANAPC2,0
FBXW2,0
SCAND3,0
LDB1,0
RPLP2,0
SETD5,0
COPB2,0
PINX1,0
DYNLT3,0
POLA2,0
RABL6,0
BUB3,0
OVOL1,0
MRPL33,0
TBCE,0
DLST,0
G3BP1,0
TAS1R2,0
KAT5,0
MRPL32,0
CD81,0
PHOX2B,0
AARS,0
YWHAB,0
FBXW4,0
XPOT,0
ZNF146,0
KIF2A,0
PRADC1,0
CUL1,0
CUL4B,0
SEC62,0
USP50,0
HMCES,0
EIF2S3,0
CEP97,0
IMPAD1,0
ZWILCH,0
MRPL34,0
NGDN,0
RNF126,0
CRTC3,0
SLC35A4,0
PRICKLE1,0
RNF2,0
RANBP10,0
MIR362,0
CTBP1,0
INO80C,0
TM9SF3,0
SLC39A1,0
CPSF3,0
ATP6V1F,0
LONP1,0
EEF1G,0
POLR3C,0
CNPPD1,0
ARID2,0
TTI1,0
HMGN3,0
B4GALT5,0
UBE2S,0
ORC1,0
MRPL57,0
C6ORF47,0
OPN1MW3,0
FBRS,0
PSMC3,0
MYBL1,0
EXOC2,0
ZC3H15,0
GPSM1,0
LRRC14,0
IPO8,0
DNAJC13,0
AL135905.2,0
ST13,0
CSDE1,0
USP11,0
UNC50,0
MRPS17,0
STK38,0
CAMSAP3,0
GPN2,0
RERE,0
EMD,0
TMX3,0
HMGA1,0
H2BW1,0
OR1A2,0
RAD18,0
SPDYA,0
EFNA5,0
COX5A,0
PRPF3,0
UBE2M,0
PSMD14,0
LRPAP1,0
E4F1,0
USP33,0
KIF23,0
ODF2,0
STXBP4,0
TXN2,0
EIF4H,0
POFUT1,0
PTP4A2,0
RAP1A,0
HABP4,0
TMED10,0
CNTLN,0
CCNB1,0
AES,0
NSMCE1,0
GPR3,0
TMEM147,0
PURA,0
ARL1,0
FBXL3,0
EIF4EBP2,0
PLD3,0
SPC25,0
TOB2,0
MYBL2,0
S100A6,0
TMEM87A,0
CDC16,0
ATXN10,0
CHCHD1,0
RNF168,0
RPS23,0
CDC23,0
PHACTR4,0
PRDM5,0
NAA60,0
EIF3M,0
CYB5R1,0
MRPL53,0
FBXO5,0
C16ORF70,0
CTDP1,0
COMMD7,0
TADA2A,0
DNPH1,0
TACC1,0
CCNK,0
YWHAE,0
EIF3B,0
UBQLN4,0
SMARCA4,0
STX5,0
CCNO,0
RAB1B,0
MRPL44,0
DEXI,0
CEP192,0
CMTR1,0
AICDA,0
INTS13,0
KCTD20,0
SMARCD3,0
ALOX15B,0
ANAPC4,0
RPL7A,0
UBA3,0
SLC39A6,0
IPO7,0
